date,description,amount
2026-01-15,VIRGIN PLUS VERDUN QC,394.66
2026-01-15,ZEHRS #528 WATERLOO ON,237.10
2026-01-15,T&T SUPERMARKET #028 WATERLOO ON,11.86
2026-01-16,VIRGIN PLUS VERDUN QC,394.66
2026-01-16,FLOCK STOP WUSA WATERLOO ON,10.72
2026-01-17,PAYMENT THANK YOU,-256.71
2026-01-18,FLOCK STOP WUSA WATERLOO ON,2.47
2026-01-18,FLIXBUS INC DALLAS TX,21.98
2026-01-19,NVIDIA CORPORATION NVIDIA.COM CA,77.92
2026-01-19,WUSA QSR WATERLOO ON,14.67
2026-01-19,FLOCK STOP WUSA WATERLOO ON,10.72
2026-01-19,SQ WATERLOO UNDERGRADUATE WATERLOO ON,1.50
2026-01-19,FIT PLACE TOKYO,39.61
2026-01-20,UW BRUBAKERS SLC WATERLOO ON,17.17
2026-01-20,PAYMENT THANK YOU,-507.75
2026-01-20,UW ATHLETICS WATERLOO ON,39.55
2026-01-21,WUSA QSR WATERLOO ON,11.29
2026-01-22,WUSA QSR WATERLOO ON,11.29
2026-01-23,UW BRUBAKERS SLC WATERLOO ON,16.37
2026-01-23,UW TIM HORTONS SLC WATERLOO ON,11.84
2026-01-23,FRESHSLICE PIZZA KITCHENER ON,3.62
2026-01-24,SHOPPERS DRUG MART LONDON ON,26.88
2026-01-25,PRESTO TORONTO ON,20.00
2026-01-25,BUSBUD MONTREAL QC,26.39
2026-01-25,JAVA TIME LONDON ON,13.55
2026-01-25,LYFT VANCOUVER BC,2.74
2026-01-26,STARBUCKS KITCHENER ON,7.72
2026-01-26,T&T SUPERMARKET #028 WATERLOO ON,47.49
2026-01-26,PAYMENT THANK YOU,-145.80
2026-01-27,WUSA QSR WATERLOO ON,11.29
2026-01-27,FLOCK STOP WUSA WATERLOO ON,5.41
2026-01-27,UW TIM HORTONS SLC WATERLOO ON,15.23
2026-01-28,FLOCK STOP WUSA WATERLOO ON,11.29
2026-01-28,UW BROWSERS DP WATERLOO ON,3.66
2026-01-28,FLOCK STOP WUSA WATERLOO ON,10.72
2026-01-28,MATH COFFEE DONUT WATERLOO ON,11.29
2026-01-28,UNIV WATERLOO RETAIL SERVICE,5.63
2026-01-29,FLOCK STOP WUSA WATERLOO ON,4.51
2026-01-29,WUSA QSR WATERLOO ON,15.80
2026-01-29,T&T SUPERMARKET #028 WATERLOO ON,29.64
2026-01-30,FLOCK STOP WUSA WATERLOO ON,4.51
2026-01-30,UW TIM HORTONS SCH WATERLOO ON,12.71
2026-01-30,WUSA QSR WATERLOO ON,11.29
2026-01-31,T&T SUPERMARKET #028 WATERLOO ON,67.88
2026-02-01,FLOCK STOP WUSA WATERLOO ON,10.72
2026-02-01,UW TIM HORTONS SLC WATERLOO ON,11.29
2026-02-01,CAMPUS PIZZA WATERLOO ON,11.30
2026-02-01,PAYMENT THANK YOU,-301.07
2026-02-02,MATH COFFEE DONUT WATERLOO ON,11.29
2026-02-02,WUSA QSR WATERLOO ON,12.41
2026-02-02,FLOCK STOP WUSA WATERLOO ON,4.51
2026-02-02,UW BROWSERS DP WATERLOO ON,3.66
2026-02-03,FLOCK STOP WUSA WATERLOO ON,13.54
2026-02-03,UW BRUBAKERS SLC WATERLOO ON,12.53
2026-02-03,FLOCK STOP WUSA WATERLOO ON,9.92
2026-02-03,FLOCK STOP WUSA WATERLOO ON,14.68
2026-02-03,T&T SUPERMARKET #028 WATERLOO ON,9.84
2026-02-04,MATH COFFEE DONUT WATERLOO ON,7.24
2026-02-04,MATH COFFEE DONUT WATERLOO ON,11.29
2026-02-04,UW TIM HORTONS SLC WATERLOO ON,11.29
2026-02-05,FLOCK STOP WUSA WATERLOO ON,25.40
2026-02-05,FLOCK STOP WUSA WATERLOO ON,4.51
2026-02-05,WUSA QSR WATERLOO ON,11.29
2026-02-05,UW TIM HORTONS SLC WATERLOO ON,11.29
2026-02-06,MATH COFFEE DONUT WATERLOO ON,10.72
2026-02-06,UW BROWSERS DP WATERLOO ON,3.66
